date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,population,positive_test_rate,pct_of_population_tested,pct_of_population_positive,simple_death_rate,inferred_positive,hidden_positive,pct_of_population_inferred_positive,pct_of_population_hidden_positive,positive_test_rate_today,positiveIncrease_last_7,totalTestResultsIncrease_last_7,positive_test_rate_7_day_avg,pct_of_population_hospitalized
2020-03-06,AK,0.0,8.0,1.0,,,,,,,,,,,,0.0,,,8.0,,,,,,02,0,0,9,8,0,8,0,0,593b9a2ef5fdaba7a30919b626b122213ba572b4,0,0,0,0,0,,731545,0.0,1.0935759249260128e-05,0.0,,0.0,0.0,0.0,0.0,,,,,
2020-03-07,AK,0.0,12.0,2.0,,,,,,,,,,,,0.0,,,12.0,,,,,,02,0,4,14,12,4,12,0,0,5d2e8fc1f5b83f4003cf5e945535beb606f6f7dd,0,0,0,0,0,,731545,0.0,1.640363887389019e-05,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
2020-03-08,AK,0.0,14.0,6.0,,,,,,,,,,,,0.0,,,14.0,,,,,,02,0,2,20,14,2,14,0,0,f5e5f6569e638c44ab3a7c90f4b3f5ecd051232f,0,0,0,0,0,,731545,0.0,1.9137578686205224e-05,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
2020-03-09,AK,0.0,23.0,9.0,,,,,,,,,,,,0.0,,,23.0,,,,,,02,0,9,32,23,9,23,0,0,252bea15a1d525858384dc0a21e8ef57e42a80d5,0,0,0,0,0,,731545,0.0,3.1440307841622863e-05,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
2020-03-10,AK,0.0,23.0,9.0,,,,,,,,,,,,0.0,,,23.0,,,,,,02,0,0,32,23,0,23,0,0,6d9cb46932ed12000f0f48af505b7037f4550071,0,0,0,0,0,,731545,0.0,3.1440307841622863e-05,0.0,,0.0,0.0,0.0,0.0,,,,,
2020-03-11,AK,0.0,46.0,14.0,,,,,,,,,,,,0.0,,,46.0,,,,,,02,0,23,60,46,23,46,0,0,0f74d1f965a8209346a3df6f64838ecbb1406566,0,0,0,0,0,,731545,0.0,6.288061568324573e-05,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
2020-03-12,AK,0.0,46.0,14.0,,,,,,,,,3/11/2020 16:30,2020-03-11T16:30:00Z,03/11 12:30,0.0,,2020-03-11 16:30:00+00:00,46.0,,,,,,02,0,0,60,46,0,46,0,0,4b2ed9ef85dbfa5ba49d34977d318c21e1c60381,0,0,0,0,0,,731545,0.0,6.288061568324573e-05,0.0,,0.0,0.0,0.0,0.0,,0.0,38.0,0.0,
2020-03-13,AK,1.0,59.0,,,,,,,,,,3/13/2020 00:00,2020-03-13T00:00:00Z,03/12 20:00,0.0,,2020-03-13 00:00:00+00:00,60.0,,,,,,02,1,13,60,60,14,60,0,0,46b36c8fe6b40bf49621e11b25a03439bf11efba,0,0,0,0,0,,731545,0.016666666666666666,8.201819436945095e-05,1.366969906157516e-06,0.0,0.0,-1.0,0.0,-1.366969906157516e-06,0.07142857142857142,1.0,52.0,0.019230769230769232,
2020-03-14,AK,1.0,143.0,,,,,,,,,,3/13/2020 16:30,2020-03-13T16:30:00Z,03/13 12:30,0.0,,2020-03-13 16:30:00+00:00,144.0,,,,,,02,0,84,144,144,84,144,0,0,07b489cd77e5cd4e943b5cded49e0a0162cb5ce9,0,0,0,0,0,,731545,0.006944444444444444,0.0001968436664866823,1.366969906157516e-06,0.0,0.0,-1.0,0.0,-1.366969906157516e-06,0.0,1.0,132.0,0.007575757575757576,
2020-03-15,AK,1.0,143.0,,,,,,,,,,3/13/2020 16:30,2020-03-13T16:30:00Z,03/13 12:30,0.0,,2020-03-13 16:30:00+00:00,144.0,,,,,,02,0,0,144,144,0,144,0,0,487e8d44ca425b4ab0bd2eb35c2bbca982245513,0,0,0,0,0,,731545,0.006944444444444444,0.0001968436664866823,1.366969906157516e-06,0.0,0.0,-1.0,0.0,-1.366969906157516e-06,,1.0,130.0,0.007692307692307693,
